periodo;cole_area_ubicacion;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_depto_ubicacion;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_mcpio_presentacion;estu_mcpio_reside;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20242;RURAL;270429060254;270429060254;SUCRE;MAÑANA;MAJAGUAL;OFICIAL;INST EDUC EL PALOMAR;INST EDUC EL PALOMAR;1;A-;1;1;1;;;SUCRE;SUCRE;MAJAGUAL;MAJAGUAL;37;162;42;32;27;30
20242;URBANO;170001001658;170001001658;SUCRE;UNICA;SINCELEJO;OFICIAL;INSTITUCION EDUCATIVA SIMON ARAUJO;INSTITUCION EDUCATIVA SIMON ARAUJO;2;A-;3;1;3;Entre 1 y 3 horas;Entre 1 y 2 horas;SUCRE;SUCRE;SINCELEJO;SINCELEJO;46;232;31;54;27;64
20242;URBANO;370001038577;370001038577;SUCRE;COMPLETA;SINCELEJO;NO OFICIAL;I. E. GIMNASIO ALTAIR DE LA SABANA;GIMNASIO ALTAIR DE LA SABANA;3;A2;3;3;2;;;SUCRE;SUCRE;SINCELEJO;SINCELEJO;65;291;66;51;63;51
20242;RURAL;270265003122;270265003122;SUCRE;MAÑANA;GUARANDA;OFICIAL;I.E. GAVALDÁ;I.E. GAVALDÁ - SEDE PRINCIPAL;2;A-;3;3;2;Entre 30 y 60 minutos;30 minutos o menos;SUCRE;SUCRE;SAN MARCOS;GUARANDA;52;252;27;51;58;48
20242;URBANO;370001038909;370001038909;SUCRE;MAÑANA;SINCELEJO;NO OFICIAL;INSTITUCION EDUCATIVA COMFASUCRE(ANTES CENTRO DOCEMTE CONFASUCRE);INSTITUCION EDUCATIVA COMFASUCRE (ANTES CENTRO DOCENTE COMFASUCRE);2;A1;3;2;2;Entre 1 y 3 horas;30 minutos o menos;SUCRE;SUCRE;SINCELEJO;SINCELEJO;50;245;54;59;39;46
20242;RURAL;270429000766;270429000766;SUCRE;MAÑANA;MAJAGUAL;OFICIAL;I.E. SAN JUAN BAUTISTA DE PIZA;I.E. SAN JUAN BAUTISTA DE PIZA - SEDE PRINCIPAL;1;A-;2;2;1;30 minutos o menos;Entre 30 y 60 minutos;SUCRE;SUCRE;MAJAGUAL;MAJAGUAL;27;165;46;39;37;25
20242;URBANO;170110000025;170110000025;SUCRE;TARDE;BUENAVISTA;OFICIAL;INST EDUC BUENAVISTA;INST EDUC BUENAVISTA;2;A1;2;2;2;Entre 30 y 60 minutos;Entre 30 y 60 minutos;SUCRE;SUCRE;SAN PEDRO;BUENAVISTA;50;240;49;47;45;50
20242;URBANO;170001000198;170001000198;SUCRE;MAÑANA;SINCELEJO;OFICIAL;INSTITUCION EDUCATIVA NUESTRA SE¿ORA DEL CARMEN;INSTITUCION EDUCATIVA NUESTRA SE¥ORA DEL CARMEN;3;A2;3;3;3;Entre 1 y 3 horas;Entre 1 y 2 horas;SUCRE;SUCRE;SINCELEJO;SINCELEJO;68;319;67;64;59;63
20242;URBANO;170124000265;170124000265;SUCRE;MAÑANA;CAIMITO;OFICIAL;INST EDUC SAN JUAN BAUTISTA;INST EDUC SAN JUAN BAUTISTA;2;A1;3;2;1;30 minutos o menos;30 minutos o menos;SUCRE;SUCRE;SAN MARCOS;CAIMITO;46;224;49;53;40;39
20242;URBANO;170001800003;170001800003;SUCRE;UNICA;SINCELEJO;OFICIAL;INSTITUCION EDUCATIVA ALTOS DE LA SABANA;INSTITUCION EDUCATIVA ALTOS DE LA SABANA - SEDE PRINCIPAL;2;A-;3;2;1;Entre 1 y 3 horas;30 minutos o menos;SUCRE;SUCRE;SINCELEJO;SINCELEJO;45;230;45;54;48;37
20242;URBANO;370820066466;370820066466;SUCRE;SABATINA;SANTIAGO DE TOLÚ;NO OFICIAL;CENTRO EDUCATIVO COSTA CARIBE - SEDE SANTIAGO DE TOLÚ;CENTRO EDUCATIVO COSTA CARIBE - SEDE SANTIAGO DE TOLÚ - SEDE PRINCIPAL;2;A-;2;2;2;Entre 30 y 60 minutos;No leo por entretenimiento;SUCRE;SUCRE;SANTIAGO DE TOLÚ;SANTIAGO DE TOLÚ;50;243;43;49;45;52
